lon,lat,Name,Ord,Elevation,url,Description
13.218361,51.085361,101. Wetterhöhe,Second,125,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#101._Wetterhöhe)
13.238,51.168722,102. Schleinitzhöhe,Second,654,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#102._Schleinitzhöhe)
13.016583,51.179361,103. Eichhardthöhe,Second,876,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#103._Eichhardthöhe)
13.128694,51.230306,104. Hohenwussen,Second,987,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#104._Hohenwussen)
13.133889,51.352611,105. DÃ¼rrenberg,Second,754,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#105._Dürrenberg)
13.095028,51.411917,106. Olganitz,Second,366,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#106._Olganitz)
12.814056,51.245722,107. Deditzhöhe,Second,442,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#107._Deditzhöhe)
12.704,51.130611,108. Ballendorf,Second,986,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#108._Ballendorf)
12.678194,51.301167,109. Frauenberg,Second,589,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#109._Frauenberg)
12.536528,51.400778,110. Schwarzeberg,Second,756,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#110._Schwarzeberg)
12.407,51.418139,111. Markstein,Second,697,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#111._Markstein)
12.255,51.342083,112. Wachberg,Second,578,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#112._Wachberg)
12.268194,51.254722,113. GrenzhÃ¼bel (neuer Standort),Second,456,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#113._Grenzhübel_(neuer_Standort))
12.25322,51.26007,113. GrenzhÃ¼bel,Second,246,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#113._Grenzhübel)
12.447833,51.280639,114. Wachau,Second,264,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#114._Wachau)
12.351056,51.188889,115. Kirchturm Pulgar,Second,973,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#115._Kirchturm_Pulgar)
12.52668,51.1922,116. Kirchturm Trages,Second,479,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#116._Kirchturm_Trages)
12.47633,51.175642,116. Crossen,Second,127,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#116._Crossen)
