lon,lat,Name,bkp,img_url,wiki_url,Hoehe,Ordnung,Color
13.466222,51.074389,12. Baeyerhoehe,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Baeyerh%C3%B6he.jpg/80px-Baeyerh%C3%B6he.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Baeyerh%C3%B6he.jpg/80px-Baeyerh%C3%B6he.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#12._Baeyerh%C3%B6he,321,1,Red
13.158751,50.882833,13. Udohoehe,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Udohoehe_gross.jpg/60px-Udohoehe_gross.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Udohoehe_gross.jpg/60px-Udohoehe_gross.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#13._Udoh%C3%B6he,504,1,Red
13.464389,50.570583,14. Bernstein,,,https://de.wikipedia.org/wiki/Medv%C4%9Bd%C3%AD_sk%C3%A1la,912,1,Red
12.954111,50.428251,15. Fichtelberg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Klinovec_mountain.jpg/80px-Klinovec_mountain.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Klinovec_mountain.jpg/80px-Klinovec_mountain.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#15._Fichtelberg,1211,1,Red
12.722806,50.811806,16. Pfaffenberg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Station_Pfaffenberg.jpg/80px-Station_Pfaffenberg.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Station_Pfaffenberg.jpg/80px-Station_Pfaffenberg.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#16._Pfaffenberg,482,1,Red
12.770917,51.026778,17. Rochlitz,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Triangulationss%C3%A4ule_Rochlitzerberg.jpg/80px-Triangulationss%C3%A4ule_Rochlitzerberg.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Triangulationss%C3%A4ule_Rochlitzerberg.jpg/80px-Triangulationss%C3%A4ule_Rochlitzerberg.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#17._Rochlitz,353,1,Red
13.010417,51.303528,18. Collm,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Collm.jpg/80px-Collm.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Collm.jpg/80px-Collm.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#18._Collm,317,1,Red
12.795639,51.420361,19. Hohburg,,,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#19._Hohburg,248,1,Red
12.372556,51.336333,20. Leipzig,https://upload.wikimedia.org/wikipedia/de/thumb/0/03/Plei%C3%9Fenburg1897.JPG/80px-Plei%C3%9Fenburg1897.JPG,https://upload.wikimedia.org/wikipedia/de/thumb/0/03/Plei%C3%9Fenburg1897.JPG/80px-Plei%C3%9Fenburg1897.JPG,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#20._Leipzig,141,1,Red
12.149778,51.019083,21. Roeden,,,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#21._R%C3%B6den,284,1,Red
